"","geneA","geneB"
"1",28.0812692394359,32.0037726431967
"2",30.3020354315751,26.6024854391077
"3",24.6440400111173,28.6868861144154
"4",26.3002762782323,26.3805659566532
"5",24.9378576368729,36.2386160105445
"6",33.0989900119466,28.9094400580876
"7",33.9439778371714,23.369109351737
"8",22.1386626324755,31.0741320045352
"9",23.4107680261163,22.9989566436155
"10",26.2461692092706,20.8050709211057
"11",21.6367958009021,22.0026637600271
"12",27.3264471167228,29.5793310157426
"13",31.9446931747428,27.2121990631289
"14",25.6589410408491,30.1568474338366
"15",18.2830074657413,15.4269853958768
"16",28.6782410200393,24.4039502235891
"17",25.8233908470854,22.4139895773757
"18",29.3781815637092,27.4364818270616
"19",22.6062092476653,21.4411081997854
"20",26.1352306019398,15.4001374658663
"21",32.572531685835,28.4916451436343
"22",29.1239053882223,26.8324342513849
"23",32.1674930592293,28.293796381768
"24",31.3042073631121,21.3759883769427
"25",29.1616602044394,27.2990808593555
"26",17.9544180674766,26.4799172483859
"27",29.5114985192735,23.7560447191282
"28",27.1298022946785,31.1131153130314
"29",18.7812134610452,22.4799412568258
"30",25.8197532957604,27.502170941025
"31",24.7013340587056,20.3765910456546
"32",28.9273652113264,23.0566076985697
"33",26.0609614459699,24.8079274116856
"34",29.1374173796055,32.325040977311
"35",24.874516089964,26.0334247676088
"36",23.0770426375292,33.3371922623193
"37",28.418125553063,27.6722436205244
"38",27.610372166992,23.3577848965534
"39",29.8686163017585,20.5944447981489
"40",27.9128374657831,28.7416375528865
"41",27.1352226451692,21.4583290897094
"42",28.2158960003484,25.7550348530672
"43",27.7003255907803,29.3694019326204
"44",35.8379828930704,30.3871273313853
"45",24.2882267000958,22.2950899818642
"46",23.4183227601232,31.389974943989
"47",26.3015371096257,29.7375709005333
"48",30.795569310639,27.344856249042
"49",29.9378759368453,28.0218185947419
"50",32.9270194324675,33.0975174553479
"51",23.4590357542904,27.1046113456614
"52",23.601939602515,25.6531225100348
"53",23.8931128981913,26.0994687155025
"54",24.3400669576605,23.292557227523
"55",25.4303754442711,24.3502535297569
"56",21.9484615701493,23.1677780838494
"57",34.0731037028565,25.4760666339919
"58",22.3936551036402,30.1249363854626
"59",30.8532813447592,29.3459943460111
"60",25.5902823856681,28.2077648956781
"61",28.5393833534147,35.3317486426819
"62",24.6968715502836,34.6335769771772
"63",30.2694334511537,27.0667219790498
"64",27.8025875830272,27.2833705354657
"65",36.3234841310692,27.8757736072502
